,comment_text
0,Sir moi khekibo besaru plz help me
1,Mein Assam ka hai Bhai dimpu dadar video mein dekha app ko mein bhi  hacking sikhna chahta hun mein
2,Phone sms bhi hack kar rha hai aur dusro ko message karke screenshot bhej rha hai through multiple fake emails. This is serious brother. Please help as soon as possible
3,How to connect to them. I&#39;m facing some serious cyber attacks from several days. Please help me connect to them. I don&#39;t use social media so how do i connect please help asap
4,"Kiya hum , is group ko join kar sakte he"
5,Well done brooğŸ‰ğŸ˜Š
6,"aare Bhai Bhia Bhai<br><a href=""about:invalid#zCSafez""></a>"
7,Yeh zero day exploit leak nahi karna thha idiots
8,Meri mausi bongai Gaon Mein rahti hai Kisi Bande Ne Mere mausi ka id hai kar liya hai Facebook ka please Bhaiya meri help kar dijiye please bhaiya
9,Mein bhi barpeta ka hu
10,Sorry Assam se hu
11,Mai Aasan se hun mera mausi ka id Kisi Ne hack kar liya hai Facebook ID please bhaiya please mein aapke pair Padta hun
12,Mujhko Rony bhaiya se baat kara dijiye na bhaiya
13,Hello Bhaiya Mera Namdev hai aapse ek hi chahie please bhaiya
14,Gems of Assam â¤
15,Proud to be Albertian
16,ğŸ‘ğŸ‘
17,Assam people&#39;s proud of you â¤
18,there are different types of hackers great job brothers ğŸ‘ğŸ‘
19,Great job Brother&#39;s â¤ï¸
